generation	map	line	x	y	sprite	role	visual_authority	script_or_text	asset	status
gen1	AgathasRoom	16	5	2	SPRITE_AGATHA	battle	OPP_AGATHA	TEXT_AGATHASROOM_AGATHA	assets/characters/npcs/agatha-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	BikeShop	16	6	2	SPRITE_BIKE_SHOP_CLERK	nonbattle	SPRITE_BIKE_SHOP_CLERK	TEXT_BIKESHOP_CLERK	assets/characters/npcs/bike-shop-clerk-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	BikeShop	17	5	6	SPRITE_MIDDLE_AGED_WOMAN	nonbattle	SPRITE_MIDDLE_AGED_WOMAN	TEXT_BIKESHOP_MIDDLE_AGED_WOMAN	assets/characters/npcs/middle-aged-woman-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	BikeShop	18	1	3	SPRITE_YOUNGSTER	nonbattle	SPRITE_YOUNGSTER	TEXT_BIKESHOP_YOUNGSTER	assets/characters/npcs/youngster-gen1-bald-hd-4x3-walk-sheet-v1.png	covered
gen1	BillsHouse	17	4	4	SPRITE_SUPER_NERD	nonbattle	SPRITE_SUPER_NERD	TEXT_BILLSHOUSE_BILL_SS_TICKET	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	BillsHouse	18	6	5	SPRITE_SUPER_NERD	nonbattle	SPRITE_SUPER_NERD	TEXT_BILLSHOUSE_BILL_CHECK_OUT_MY_RARE_POKEMON	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	BluesHouse	16	2	3	SPRITE_DAISY	nonbattle	SPRITE_DAISY	TEXT_BLUESHOUSE_DAISY_SITTING	assets/characters/npcs/daisy-oak-kasc-hd-4x3-walk-sheet-v2.png	covered
gen1	BluesHouse	17	6	4	SPRITE_DAISY	nonbattle	SPRITE_DAISY	TEXT_BLUESHOUSE_DAISY_WALKING	assets/characters/npcs/daisy-oak-kasc-hd-4x3-walk-sheet-v2.png	covered
gen1	BrunosRoom	16	5	2	SPRITE_BRUNO	battle	OPP_BRUNO	TEXT_BRUNOSROOM_BRUNO	assets/characters/npcs/bruno-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonChiefHouse	16	4	2	SPRITE_GRAMPS	nonbattle	SPRITE_GRAMPS	TEXT_CELADONCHIEFHOUSE_CHIEF	assets/characters/npcs/gramps-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonChiefHouse	17	1	4	SPRITE_ROCKET	nonbattle	SPRITE_ROCKET	TEXT_CELADONCHIEFHOUSE_ROCKET	assets/characters/npcs/team-rocket-grunt-male-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonChiefHouse	18	5	6	SPRITE_SAILOR	nonbattle	SPRITE_SAILOR	TEXT_CELADONCHIEFHOUSE_SAILOR	assets/characters/npcs/sailor-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonCity	42	8	17	SPRITE_LITTLE_GIRL	nonbattle	SPRITE_LITTLE_GIRL	TEXT_CELADONCITY_LITTLE_GIRL	assets/characters/npcs/little-girl-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonCity	43	11	28	SPRITE_GRAMPS	nonbattle	SPRITE_GRAMPS	TEXT_CELADONCITY_GRAMPS1	assets/characters/npcs/gramps-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonCity	44	14	19	SPRITE_GIRL	nonbattle	SPRITE_GIRL	TEXT_CELADONCITY_GIRL	assets/characters/npcs/girl-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonCity	45	25	22	SPRITE_GRAMPS	nonbattle	SPRITE_GRAMPS	TEXT_CELADONCITY_GRAMPS2	assets/characters/npcs/gramps-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonCity	46	22	16	SPRITE_GRAMPS	nonbattle	SPRITE_GRAMPS	TEXT_CELADONCITY_GRAMPS3	assets/characters/npcs/gramps-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonCity	47	32	12	SPRITE_FISHER	nonbattle	SPRITE_FISHER	TEXT_CELADONCITY_FISHER	assets/characters/npcs/fisher-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonCity	49	32	29	SPRITE_ROCKET	nonbattle	SPRITE_ROCKET	TEXT_CELADONCITY_ROCKET1	assets/characters/npcs/team-rocket-grunt-male-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonCity	50	42	14	SPRITE_ROCKET	nonbattle	SPRITE_ROCKET	TEXT_CELADONCITY_ROCKET2	assets/characters/npcs/team-rocket-grunt-male-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonDiner	18	8	5	SPRITE_COOK	nonbattle	SPRITE_COOK	TEXT_CELADONDINER_COOK	assets/characters/npcs/cook-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonDiner	19	7	2	SPRITE_MIDDLE_AGED_WOMAN	nonbattle	SPRITE_MIDDLE_AGED_WOMAN	TEXT_CELADONDINER_MIDDLE_AGED_WOMAN	assets/characters/npcs/middle-aged-woman-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonDiner	20	1	4	SPRITE_MIDDLE_AGED_MAN	nonbattle	SPRITE_MIDDLE_AGED_MAN	TEXT_CELADONDINER_MIDDLE_AGED_MAN	assets/characters/npcs/middle-aged-man-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonDiner	21	5	3	SPRITE_FISHER	nonbattle	SPRITE_FISHER	TEXT_CELADONDINER_FISHER	assets/characters/npcs/fisher-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonDiner	22	0	1	SPRITE_GYM_GUIDE	nonbattle	SPRITE_GYM_GUIDE	TEXT_CELADONDINER_GYM_GUIDE	assets/characters/npcs/gym-guide-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonGym	21	4	3	SPRITE_SILPH_WORKER_F	battle	OPP_ERIKA	TEXT_CELADONGYM_ERIKA	assets/characters/npcs/erika-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonGym	22	2	11	SPRITE_COOLTRAINER_F	battle	OPP_LASS	TEXT_CELADONGYM_COOLTRAINER_F1	assets/characters/npcs/lass-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonGym	23	7	10	SPRITE_BEAUTY	battle	OPP_BEAUTY	TEXT_CELADONGYM_BEAUTY1	assets/characters/npcs/beauty-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonGym	24	9	5	SPRITE_COOLTRAINER_F	battle	OPP_JR_TRAINER_F	TEXT_CELADONGYM_COOLTRAINER_F2	assets/characters/npcs/jr-trainer-female-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonGym	25	1	5	SPRITE_BEAUTY	battle	OPP_BEAUTY	TEXT_CELADONGYM_BEAUTY2	assets/characters/npcs/beauty-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonGym	26	6	3	SPRITE_COOLTRAINER_F	battle	OPP_LASS	TEXT_CELADONGYM_COOLTRAINER_F3	assets/characters/npcs/lass-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonGym	27	3	3	SPRITE_BEAUTY	battle	OPP_BEAUTY	TEXT_CELADONGYM_BEAUTY3	assets/characters/npcs/beauty-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonGym	28	5	3	SPRITE_COOLTRAINER_F	battle	OPP_COOLTRAINER_F	TEXT_CELADONGYM_COOLTRAINER_F4	assets/characters/npcs/cooltrainer-female-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonHotel	16	3	1	SPRITE_GRANNY	nonbattle	SPRITE_GRANNY	TEXT_CELADONHOTEL_GRANNY	assets/characters/npcs/granny-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonHotel	17	2	4	SPRITE_BEAUTY	nonbattle	SPRITE_BEAUTY	TEXT_CELADONHOTEL_BEAUTY	assets/characters/npcs/beauty-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonHotel	18	8	4	SPRITE_SUPER_NERD	nonbattle	SPRITE_SUPER_NERD	TEXT_CELADONHOTEL_SUPER_NERD	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMansion1F	22	1	5	SPRITE_GRANNY	nonbattle	SPRITE_GRANNY	TEXT_CELADONMANSION1F_GRANNY	assets/characters/npcs/granny-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMansion3F	23	0	4	SPRITE_BIKE_SHOP_CLERK	nonbattle	SPRITE_BIKE_SHOP_CLERK	TEXT_CELADONMANSION3F_PROGRAMMER	assets/characters/npcs/bike-shop-clerk-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMansion3F	24	3	4	SPRITE_CLERK	nonbattle	SPRITE_CLERK	TEXT_CELADONMANSION3F_GRAPHIC_ARTIST	assets/characters/npcs/clerk-kasc-hd-4x3-walk-sheet-v1.png	covered
gen1	CeladonMansion3F	25	0	7	SPRITE_SUPER_NERD	nonbattle	SPRITE_SUPER_NERD	TEXT_CELADONMANSION3F_WRITER	assets/characters/npcs/super-nerd-kasc-hd-4x3-walk-sheet-v1.png	covered
