base_atlas	variant_atlas	variant
assets/characters/npcs/teacher-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/teacher-gen2-kasc-hd-4x3-walk-sheet-v1-variant-blond-navy.png	blond-navy
assets/characters/npcs/teacher-gen2-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/teacher-gen2-kasc-hd-4x3-walk-sheet-v1-variant-black-burgundy.png	black-burgundy
assets/characters/npcs/cooltrainer-male-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/cooltrainer-male-kasc-hd-4x3-walk-sheet-v1-variant-auburn-green.png	auburn-green
assets/characters/npcs/cooltrainer-male-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/cooltrainer-male-kasc-hd-4x3-walk-sheet-v1-variant-blond-blue.png	blond-blue
assets/characters/npcs/youngster-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/youngster-kasc-hd-4x3-walk-sheet-v1-variant-black-teal.png	black-teal
assets/characters/npcs/youngster-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/youngster-kasc-hd-4x3-walk-sheet-v1-variant-blond-red.png	blond-red
assets/characters/npcs/fisher-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/fisher-kasc-hd-4x3-walk-sheet-v1-variant-gray-navy.png	gray-navy
assets/characters/npcs/fisher-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/fisher-kasc-hd-4x3-walk-sheet-v1-variant-auburn-olive.png	auburn-olive
assets/characters/npcs/lass-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/lass-kasc-hd-4x3-walk-sheet-v1-variant-black-blue.png	black-blue
assets/characters/npcs/lass-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/lass-kasc-hd-4x3-walk-sheet-v1-variant-blond-green.png	blond-green
assets/characters/npcs/scientist-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/scientist-kasc-hd-4x3-walk-sheet-v1-variant-black-teal.png	black-teal
assets/characters/npcs/scientist-kasc-hd-4x3-walk-sheet-v1.png	assets/characters/npcs/scientist-kasc-hd-4x3-walk-sheet-v1-variant-blond-burgundy.png	blond-burgundy
