dex	species	form	gender	palette	atlas	runtime_strip	scale_class	height_dm	file_sha256	rgba_sha256	runtime_content_width	runtime_content_height	motion_profile
001	bulbasaur	00	none	normal	assets/pokemon-walksheets/dex-001__species-bulbasaur__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-001__species-bulbasaur__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	7	b8d0cd5e389b42942e82840bae9ae475b23677e90e4cac5518b0172797a4e832	b9cd83f4a019e8bb8ec331dce6bc998f5fdc401e6fc4e007a2342bd7aa2b6d4a	15	16	terrestrial-quadruped-light-v1
002	ivysaur	00	none	normal	assets/pokemon-walksheets/dex-002__species-ivysaur__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-002__species-ivysaur__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	cecd016d23c7bc4b23e7e7817fef8732d1922b43a9e37e2e7eac6d7999c7e9fc	1e3026e13abe7756ab2b99fe6002bcadd7d42f39b78d27a0dbc4f3d692ece68c	15	12	terrestrial-quadruped-light-v1
003	venusaur	00	female	normal	assets/pokemon-walksheets/dex-003__species-venusaur__form-00__gender-female__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-003__species-venusaur__form-00__gender-female__palette-normal__walk-3x4.png	pokemon_large	20	3263070a77683e4b43e3b9a5160834b004ca191e4464c593fb6cf2349ed141e9	79f18611981e207f73d132d8685d41ea0b870de7528c939852bf11049cd96fe8	15	12	terrestrial-quadruped-heavy-v1
003	venusaur	00	male	normal	assets/pokemon-walksheets/dex-003__species-venusaur__form-00__gender-male__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-003__species-venusaur__form-00__gender-male__palette-normal__walk-3x4.png	pokemon_large	20	9f452a4e550c649b507dead28235733f9b70e3b0faa456f22c1a46dddcb857d6	5fbce81f7722c9338a48e7d4fa5846056f34df203f82d2902550e44592cd9260	15	11	terrestrial-quadruped-heavy-v1
004	charmander	00	none	normal	assets/pokemon-walksheets/dex-004__species-charmander__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-004__species-charmander__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	6	3e026bd630331c0dfb772bcd6d4201d490e7aaf4819ca8e23273d39b5c153115	537531af697e57832c910a84aebab7c5a41c6cf82a1d22af9575bc5e21cc3280	15	16	terrestrial-biped-light-v1
005	charmeleon	00	none	normal	assets/pokemon-walksheets/dex-005__species-charmeleon__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-005__species-charmeleon__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	11	f6d91e51981021ee4a7d44a9b2646e6b07212f057488213133d61e2c1a9e022b	ce786b4ca91b058f539820c762fcf99676879d21073b4f2e1433cc5be51adf39	14	16	terrestrial-biped-light-v1
006	charizard	00	none	normal	assets/pokemon-walksheets/dex-006__species-charizard__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-006__species-charizard__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	17	39c634f3a0970e2cd01dec58838c0aa3e1f9bd8f9fff9dd91d84d51f726c1954	a99ef54ba2b2aacf06e3f28816cd93c9b1cbc72655054ee7a4af0d47153bdf3c	15	16	airborne-wing-flap-v1
007	squirtle	00	none	normal	assets/pokemon-walksheets/dex-007__species-squirtle__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-007__species-squirtle__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	5	b1b528da1ad0a5c843f493e158b1c08cbbcfe2fd3959efb839be805482c7bfc0	177beaf27e40a7f105ff62a9d7573050eaa31a112f02acc5abd7b82edad96b30	15	16	terrestrial-biped-light-v1
008	wartortle	00	none	normal	assets/pokemon-walksheets/dex-008__species-wartortle__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-008__species-wartortle__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	1735c33cde1f9ce8427d0f52026487703f5a0d0db74b45fe80632c2b4be5191e	c85f1030564eb2e8bb2bb69c8b2003111bb2901f97367ead0e12600e6d1688c5	15	16	terrestrial-biped-light-v1
009	blastoise	00	none	normal	assets/pokemon-walksheets/dex-009__species-blastoise__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-009__species-blastoise__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	16	00ffa93e5bb8b90958fa90a5821d40f265e9764894221f7d986bb2c456398778	6f2ce33d8d50b469e5dc776d15fca6a7ecd5ce00da3aa5da9eea2f27918d8d77	15	14	terrestrial-biped-heavy-v1
