dex	species	form	gender	palette	atlas	runtime_strip	scale_class	height_dm	file_sha256	rgba_sha256	runtime_content_width	runtime_content_height	source_document_sha256	source_manifest_sha256	motion_profile
001	Bulbasaur	00	none	normal	assets/pokemon-walksheets-549/dex-001__species-bulbasaur__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-001__species-bulbasaur__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		4735cbc5d6324682004e6770796360544b67bb518206a5c6f996d3c1adefbaa8	5962bb58f00cfa874ead72f41c2fb9466d6008148fe4b18433dae4a48dee259a	15	16	c1f240bc46a51da71d51d3d745a98c680e0c9a938f88b8fed070b367fd855271	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-quadruped-light-v1
001	Bulbasaur	00	none	shiny	assets/pokemon-walksheets-549/dex-001__species-bulbasaur__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-001__species-bulbasaur__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		f0fc5eaf70c8bca7764c7ee34742c3cfe34307fb321da0f1f645132864b6efa6	6911121be796894bb47ed5889ab63a3c0d9988c6984073f573b0ecbbed08c082	15	16	395d14a69435b7de7fbba7ff63ab3f7c74d50907d5a09ecc6948fc006df18d24	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-quadruped-light-v1
002	Ivysaur	00	none	normal	assets/pokemon-walksheets-549/dex-002__species-ivysaur__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-002__species-ivysaur__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		a1eaa2eb21ae92beabc6e4ee92e0386babf07eaffdbfd6e022d9f37eed57c04f	e39d870af45f13365920b90acebb23ffc67dbcfb1836a336da9fb29eab02f106	15	12	cf4b1f933bf72906165a70b1813cb8a4ccd8b7d9fa94ecc1c2c1adf1ad6a7f23	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-quadruped-light-v1
002	Ivysaur	00	none	shiny	assets/pokemon-walksheets-549/dex-002__species-ivysaur__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-002__species-ivysaur__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		fd2e390ebcc1484d877400d40b26576323ce3d514e2524bb5a28a71ed1b77812	3ada01b9539a381144ac8e416fd431b8446cc86945f2fc1709f50a9b51f37b5a	15	12	9e1bbd553b231d4ca246d792d073e4c79853c4543d2e1e73f709401dc506bd23	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-quadruped-light-v1
003	Venusaur	00	none	normal	assets/pokemon-walksheets-549/dex-003__species-venusaur__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-003__species-venusaur__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		ab1cca49e8b404269185fc7c03f809ffe58cc4f1bf13827c0d7de7afd5a4d68b	a6be3b22bf8477becf066d9a4e5b576f7618ad765c2c2c30e583f66abb295648	15	11	fe1c22639ea7622e7c96aa1a28fc7a9db5ec84e6ec60ca5e4e9e27b2647d3e4e	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-quadruped-heavy-v1
003	Venusaur	00	none	shiny	assets/pokemon-walksheets-549/dex-003__species-venusaur__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-003__species-venusaur__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		954b64706265aecc04d6966b898f6f747ec4a4daaab076934731dce06e81d6c3	18b1c337188a7eb7834715bcd77379a8aeb1761dcf0b891aad8440572e16ec08	15	11	f79e14bbcc4bf70713a19fca53853b78ea9b2a8b6b7718a7461e281c7327a124	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-quadruped-heavy-v1
004	Charmander	00	none	normal	assets/pokemon-walksheets-549/dex-004__species-charmander__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-004__species-charmander__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		9b8a00f3067c1ebd4385347546eddcb002389ab3d5fe95579d4fd60cb05b8888	94614978065cca40a24d7e1d88f4b7985eadd9f36a198bbe3bdc05a3331002cc	15	16	47d4676f63d2cc54a20e9fe51b208af2e205389416531c0955ded77161c0b989	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-biped-light-v1
004	Charmander	00	none	shiny	assets/pokemon-walksheets-549/dex-004__species-charmander__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-004__species-charmander__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		c22841875f1c17d9969d30a9572af0343691253eb652954cfbf0c2560b018432	767c935591542f721836675cdc24db44874658631d119c36e5ae3ed590bf67bf	15	16	fde5229afb554a4bcf3c9b4b89c760a6c116797b86105e276ac6fcaf6978efd4	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-biped-light-v1
005	Charmeleon	00	none	normal	assets/pokemon-walksheets-549/dex-005__species-charmeleon__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-005__species-charmeleon__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		be8f0a736a01158a3f3ee1849c2135ff3565cc754c58a143aad2788b52d3c570	dc5d96e0940f80fd03d5381f8eba9f02ad2cc047226026408ab66edb4d671559	14	16	7e7ba0116cb6d23535f28f985e732f22a2729ebf50e781dc630fc10ba151d96e	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-biped-light-v1
005	Charmeleon	00	none	shiny	assets/pokemon-walksheets-549/dex-005__species-charmeleon__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-005__species-charmeleon__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		80a0d1177027069dfa2a8f935176bf37d95e2ef12a411976f87175087d2c6599	82203ab1bb7afd42cbe2781e5c69d0493616eead3f05bad86a2b2a53e3dbb73b	14	16	22c9e2cfebeca12ff9c164d1907a74d30c1b56c4ac854dd7982204f677322207	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-biped-light-v1
006	Charizard	00	none	normal	assets/pokemon-walksheets-549/dex-006__species-charizard__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-006__species-charizard__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		8c172cceb0600bdb7d726ff4c5cba2e9e4fdb35d192b094b092ae740504e7639	3a54b649b2232210b61ad2295e77c6b39b5228b89bbb936c7eb636772e27479c	15	16	489bb00a74c45cd8b0f448eb78dbcf1494bbb1801645199ffe30382eb4679f6a	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
006	Charizard	00	none	shiny	assets/pokemon-walksheets-549/dex-006__species-charizard__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-006__species-charizard__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		6b028700bdfab181b206c9a50b93a4e320a9e1a9ecbdeb260ded3694091ab095	db8f81d34313600e6c019bb98cc4560bdaa8cc7bb4696d87688bb04086ecd348	15	16	cdc0f82405b97e627392afc1a913a6403992f6685afaf842704efbebf6c49d70	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	airborne-wing-flap-v1
007	Squirtle	00	none	normal	assets/pokemon-walksheets-549/dex-007__species-squirtle__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime-549/dex-007__species-squirtle__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium		128f3411cacc298b0dec37a7c0684cb62a3f4b78194d435da73cc1045996493f	260298fefb1668d50555dfc7c18e1ef9372189766ea35202420347149637f165	15	16	c41fa3430cce4fa0f05a552b18d0e9d89ab810406c65b1a4627a0ba0c88f9ddf	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-biped-light-v1
007	Squirtle	00	none	shiny	assets/pokemon-walksheets-549/dex-007__species-squirtle__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime-549/dex-007__species-squirtle__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium		0e48d9115c5fb54e3d2c6d2ae54a162c3941ad35f713d76fb537fb3d65db2f5d	d89735992ac6fdccd218a926d2022878b150409275a6c0d6a1922dbfc7ceb4b4	15	16	b643fd79802e21900e6432e4c78056492f49d2eacfb0757ef9278fcf3ec3f21b	25be382bec0caa1f1db4a0422dac8c05e2c72f1aa87c05e78b376e8722b24e40	terrestrial-biped-light-v1
